Species,Fish,Temp,ETS
sculpin,4,14,0.0084507
sculpin,4,17,0.0929577
sculpin,4,20,0.0507042
sculpin,4,23,0.0760563
sculpin,4,26,0.1183099
sculpin,4,29,0.0507042
sculpin,4,32,0.2366197
sculpin,4,35,0.084507
sculpin,4,38,0.1267606
sculpin,4,41,0.0169014
sculpin,4,44,0
sculpin,5,11,0.0253521
sculpin,5,14,0.1690141
sculpin,5,17,0.1267606
sculpin,5,20,0.1183099
sculpin,5,23,0.1352113
sculpin,5,26,0.2619718
sculpin,5,29,0.2873239
sculpin,5,32,0.1098592
sculpin,5,35,0.2028169
sculpin,5,38,0.2450704
sculpin,5,41,0
sculpin,5,44,0
sculpin,6,11,0.0507042
sculpin,6,14,0
sculpin,6,17,0.0084507
sculpin,6,20,0.1183099
sculpin,6,23,0.1183099
sculpin,6,26,0.2028169
sculpin,6,29,0.1690141
sculpin,6,32,0.1943662
sculpin,6,35,0.1690141
sculpin,6,38,0.1267606
sculpin,6,41,0
sculpin,6,44,0
sculpin,7,11,0.1014085
sculpin,7,14,0.0676056
sculpin,7,17,0.2028169
sculpin,7,20,0.143662
sculpin,7,23,0.4309859
sculpin,7,26,0.5239437
sculpin,7,29,0.2788732
sculpin,7,32,0.6169014
sculpin,7,35,0.5239437
sculpin,7,38,0.5323944
sculpin,7,41,0.3971831
sculpin,7,44,0.0253521
sculpin,8,11,0.0507042
sculpin,8,14,0.0591549
sculpin,8,17,0.1521127
sculpin,8,20,0.0422535
sculpin,8,23,0.1943662
sculpin,8,26,0.1943662
sculpin,8,29,0.3464789
sculpin,8,32,0
sculpin,8,35,0.3211268
sculpin,8,38,0
sculpin,8,41,0.0507042
sculpin,8,44,0
sculpin,9,11,0.118309859
sculpin,9,14,0.118309859
sculpin,9,17,0.118309859
sculpin,9,20,0.152112676
sculpin,9,23,0.245070423
sculpin,9,26,0.270422535
sculpin,9,29,0.304225352
sculpin,9,32,0.304225352
sculpin,9,35,0.202816901
sculpin,9,38,0.38028169
sculpin,9,41,0.185915493
sculpin,9,44,0
sculpin,10,11,0.1098592
sculpin,10,14,0.143662
sculpin,10,17,0.1605634
sculpin,10,20,0.228169
sculpin,10,23,0.3887324
sculpin,10,26,0.3549296
sculpin,10,29,0.2028169
sculpin,10,32,0.4056338
sculpin,10,35,0.3971831
sculpin,10,38,0.4309859
sculpin,10,41,0.3126761
sculpin,10,44,0.0169014
stone,1,11,0.1605634
stone,1,14,0.2619718
stone,1,17,0.2873239
stone,1,20,0.3802817
stone,1,23,0.4901408
stone,1,26,0.5577465
stone,1,29,0.8112676
stone,1,32,0.7521127
stone,1,35,0.8873239
stone,1,38,0.9549296
stone,1,41,0.8957746
stone,1,44,0.3295775
stone,2,11,0.2619718
stone,2,14,0.3211268
stone,2,17,0.3971831
stone,2,20,0.515493
stone,2,23,0.5492958
stone,2,26,0.6929577
stone,2,29,0.8535211
stone,2,32,1.1577465
stone,2,35,0.9211268
stone,2,38,0.5746479
stone,2,41,0.828169
stone,2,44,0.4816901
stone,3,11,0.4394366
stone,3,14,0.6338028
stone,3,17,0.1014085
stone,3,20,1.0985915
stone,3,23,0.7774648
stone,3,26,1.4028169
stone,3,29,1.2084507
stone,3,32,1.3267606
stone,3,35,1.4619718
stone,3,38,1.5633803
stone,3,41,0.5408451
stone,3,44,0.6
stone,4,11,0.2619718
stone,4,14,0.3042254
stone,4,17,0.7014085
stone,4,20,0.7690141
stone,4,23,1.0309859
stone,4,26,0.7774648
stone,4,29,1.2507042
stone,4,32,1.2169014
stone,4,35,0.5577465
stone,4,38,0.371831
stone,4,41,0.1943662
stone,4,44,0.6084507
